Strategy,Sharpe,Sortino,Volatility,CAGR,Max Drawdown,Hit Ratio,Trades,Avg Profit/Trade,Ticker,Z_threshold,MOM_threshold,Transaction_cost
Combined,-0.04,-0.03,0.19,-0.03,0.51,0.14,156,0.0013,AMZN,1.0,0.02,0.0005
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,1.0,0.02,0.0005
Mean Reversion,-0.45,-0.6,0.19,-0.1,0.52,0.38,17,-0.0023,SPY,1.0,0.02,0.001
Momentum,-0.07,-0.09,0.2,-0.03,0.81,0.52,95,0.0011,SPY,1.0,0.02,0.001
Combined,-0.52,-0.44,0.1,-0.06,0.47,0.11,98,0.0002,SPY,1.0,0.02,0.001
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,1.0,0.02,0.001
Mean Reversion,-0.42,-0.58,0.29,-0.15,0.69,0.41,21,0.0101,AAPL,1.0,0.02,0.001
Momentum,0.83,1.15,0.31,0.23,0.73,0.52,118,0.0003,AAPL,1.0,0.02,0.001
Combined,0.18,0.14,0.19,0.02,0.3,0.15,114,-0.0004,AAPL,1.0,0.02,0.001
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,1.0,0.02,0.001
Mean Reversion,-0.26,-0.37,0.28,-0.11,0.82,0.41,23,0.0116,MSFT,1.0,0.02,0.001
Momentum,0.06,0.08,0.29,-0.02,0.44,0.52,136,0.0014,MSFT,1.0,0.02,0.001
Combined,-0.08,-0.07,0.18,-0.03,0.41,0.14,125,0.0011,MSFT,1.0,0.02,0.001
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,1.0,0.02,0.001
Mean Reversion,-0.38,-0.54,0.3,-0.15,0.84,0.4,19,0.0098,GOOGL,1.0,0.02,0.001
Momentum,-0.76,-1.04,0.31,-0.25,0.86,0.48,155,-0.0007,GOOGL,1.0,0.02,0.001
Combined,-0.91,-0.73,0.17,-0.16,0.78,0.12,142,-0.0005,GOOGL,1.0,0.02,0.001
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,1.0,0.02,0.001
Mean Reversion,-1.04,-1.4,0.5,-0.47,1.09,0.4,13,0.0124,NVDA,1.0,0.02,0.001
Momentum,0.65,1.0,0.52,0.22,1.5,0.51,179,0.0042,NVDA,1.0,0.02,0.001
Combined,-0.28,-0.24,0.33,-0.14,0.74,0.15,164,0.0008,NVDA,1.0,0.02,0.001
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,1.0,0.02,0.001
Mean Reversion,-0.01,-0.01,0.33,-0.05,0.94,0.43,35,0.0051,AMZN,1.0,0.02,0.001
Momentum,-0.08,-0.12,0.34,-0.08,0.72,0.48,157,0.0021,AMZN,1.0,0.02,0.001
Combined,-0.04,-0.03,0.19,-0.03,0.51,0.14,156,0.0013,AMZN,1.0,0.02,0.001
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,1.0,0.02,0.001
Mean Reversion,-0.45,-0.6,0.19,-0.1,0.52,0.38,17,-0.0023,SPY,1.0,0.03,0.0005
Momentum,0.08,0.1,0.2,-0.0,0.66,0.52,60,0.0017,SPY,1.0,0.03,0.0005
Combined,-0.43,-0.31,0.09,-0.04,0.4,0.07,59,0.0006,SPY,1.0,0.03,0.0005
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,1.0,0.03,0.0005
Mean Reversion,-0.42,-0.58,0.29,-0.15,0.69,0.41,21,0.0101,AAPL,1.0,0.03,0.0005
Momentum,0.59,0.82,0.31,0.14,0.83,0.51,93,0.0008,AAPL,1.0,0.03,0.0005
Combined,-0.01,-0.01,0.19,-0.02,0.4,0.14,92,-0.0012,AAPL,1.0,0.03,0.0005
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,1.0,0.03,0.0005
Mean Reversion,-0.26,-0.37,0.28,-0.11,0.82,0.41,23,0.0116,MSFT,1.0,0.03,0.0005
Momentum,-0.02,-0.02,0.29,-0.05,0.56,0.51,94,-0.0008,MSFT,1.0,0.03,0.0005
Combined,-0.11,-0.09,0.17,-0.03,0.46,0.13,95,0.0001,MSFT,1.0,0.03,0.0005
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,1.0,0.03,0.0005
Mean Reversion,-0.38,-0.54,0.3,-0.15,0.84,0.4,19,0.0098,GOOGL,1.0,0.03,0.0005
Momentum,-0.66,-0.9,0.31,-0.22,1.21,0.49,111,-0.0018,GOOGL,1.0,0.03,0.0005
Combined,-0.94,-0.72,0.17,-0.16,0.86,0.11,108,-0.0026,GOOGL,1.0,0.03,0.0005
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,1.0,0.03,0.0005
Mean Reversion,-1.04,-1.4,0.5,-0.47,1.09,0.4,13,0.0124,NVDA,1.0,0.03,0.0005
Momentum,0.66,1.02,0.52,0.23,2.39,0.51,151,0.0045,NVDA,1.0,0.03,0.0005
Combined,-0.32,-0.27,0.33,-0.15,0.79,0.14,142,-0.0009,NVDA,1.0,0.03,0.0005
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,1.0,0.03,0.0005
Mean Reversion,-0.01,-0.01,0.33,-0.05,0.94,0.43,35,0.0051,AMZN,1.0,0.03,0.0005
Momentum,0.03,0.05,0.34,-0.04,0.7,0.48,118,0.0032,AMZN,1.0,0.03,0.0005
Combined,0.1,0.09,0.2,0.0,0.49,0.13,125,0.0025,AMZN,1.0,0.03,0.0005
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,1.0,0.03,0.0005
Mean Reversion,-0.45,-0.6,0.19,-0.1,0.52,0.38,17,-0.0023,SPY,1.0,0.03,0.001
Momentum,0.08,0.1,0.2,-0.0,0.66,0.52,60,0.0017,SPY,1.0,0.03,0.001
Combined,-0.43,-0.31,0.09,-0.04,0.4,0.07,59,0.0006,SPY,1.0,0.03,0.001
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,1.0,0.03,0.001
Mean Reversion,-0.42,-0.58,0.29,-0.15,0.69,0.41,21,0.0101,AAPL,1.0,0.03,0.001
Momentum,0.59,0.82,0.31,0.14,0.83,0.51,93,0.0008,AAPL,1.0,0.03,0.001
Combined,-0.01,-0.01,0.19,-0.02,0.4,0.14,92,-0.0012,AAPL,1.0,0.03,0.001
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,1.0,0.03,0.001
Mean Reversion,-0.26,-0.37,0.28,-0.11,0.82,0.41,23,0.0116,MSFT,1.0,0.03,0.001
Momentum,-0.02,-0.02,0.29,-0.05,0.56,0.51,94,-0.0008,MSFT,1.0,0.03,0.001
Combined,-0.11,-0.09,0.17,-0.03,0.46,0.13,95,0.0001,MSFT,1.0,0.03,0.001
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,1.0,0.03,0.001
Mean Reversion,-0.38,-0.54,0.3,-0.15,0.84,0.4,19,0.0098,GOOGL,1.0,0.03,0.001
Momentum,-0.66,-0.9,0.31,-0.22,1.21,0.49,111,-0.0018,GOOGL,1.0,0.03,0.001
Combined,-0.94,-0.72,0.17,-0.16,0.86,0.11,108,-0.0026,GOOGL,1.0,0.03,0.001
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,1.0,0.03,0.001
Mean Reversion,-1.04,-1.4,0.5,-0.47,1.09,0.4,13,0.0124,NVDA,1.0,0.03,0.001
Momentum,0.66,1.02,0.52,0.23,2.39,0.51,151,0.0045,NVDA,1.0,0.03,0.001
Combined,-0.32,-0.27,0.33,-0.15,0.79,0.14,142,-0.0009,NVDA,1.0,0.03,0.001
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,1.0,0.03,0.001
Mean Reversion,-0.01,-0.01,0.33,-0.05,0.94,0.43,35,0.0051,AMZN,1.0,0.03,0.001
Momentum,0.03,0.05,0.34,-0.04,0.7,0.48,118,0.0032,AMZN,1.0,0.03,0.001
Combined,0.1,0.09,0.2,0.0,0.49,0.13,125,0.0025,AMZN,1.0,0.03,0.001
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,1.0,0.03,0.001
Mean Reversion,-0.43,-0.57,0.19,-0.1,0.52,0.38,15,0.0,SPY,1.5,0.01,0.0005
Momentum,-0.29,-0.37,0.2,-0.07,0.61,0.51,153,0.0003,SPY,1.5,0.01,0.0005
Combined,-0.64,-0.53,0.11,-0.08,0.45,0.12,142,-0.0006,SPY,1.5,0.01,0.0005
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,1.5,0.01,0.0005
Mean Reversion,-0.34,-0.46,0.29,-0.13,0.67,0.41,19,0.0074,AAPL,1.5,0.01,0.0005
Momentum,0.6,0.83,0.31,0.15,0.7,0.51,176,-0.0003,AAPL,1.5,0.01,0.0005
Combined,0.12,0.1,0.2,0.0,0.33,0.16,166,-0.0006,AAPL,1.5,0.01,0.0005
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,1.5,0.01,0.0005
Mean Reversion,-0.27,-0.38,0.28,-0.11,0.89,0.41,19,0.0168,MSFT,1.5,0.01,0.0005
Momentum,0.05,0.07,0.29,-0.03,0.44,0.51,184,0.0007,MSFT,1.5,0.01,0.0005
Combined,-0.1,-0.09,0.18,-0.03,0.46,0.16,171,0.0001,MSFT,1.5,0.01,0.0005
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,1.5,0.01,0.0005
Mean Reversion,-0.42,-0.58,0.3,-0.16,0.81,0.4,13,-0.0032,GOOGL,1.5,0.01,0.0005
Momentum,-0.19,-0.26,0.31,-0.1,0.78,0.5,201,0.0024,GOOGL,1.5,0.01,0.0005
Combined,-0.39,-0.36,0.19,-0.09,0.73,0.15,184,0.0001,GOOGL,1.5,0.01,0.0005
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,1.5,0.01,0.0005
Mean Reversion,-1.06,-1.43,0.5,-0.48,1.09,0.4,11,0.0124,NVDA,1.5,0.01,0.0005
Momentum,0.43,0.66,0.52,0.09,0.82,0.5,221,0.0028,NVDA,1.5,0.01,0.0005
Combined,-0.42,-0.38,0.34,-0.18,0.96,0.15,200,0.0013,NVDA,1.5,0.01,0.0005
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,1.5,0.01,0.0005
Mean Reversion,-0.16,-0.21,0.33,-0.1,0.92,0.43,23,0.0054,AMZN,1.5,0.01,0.0005
Momentum,-0.13,-0.18,0.34,-0.1,0.6,0.49,212,0.0025,AMZN,1.5,0.01,0.0005
Combined,-0.24,-0.21,0.21,-0.07,0.52,0.17,189,0.0014,AMZN,1.5,0.01,0.0005
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,1.5,0.01,0.0005
Mean Reversion,-0.43,-0.57,0.19,-0.1,0.52,0.38,15,0.0,SPY,1.5,0.01,0.001
Momentum,-0.29,-0.37,0.2,-0.07,0.61,0.51,153,0.0003,SPY,1.5,0.01,0.001
Combined,-0.64,-0.53,0.11,-0.08,0.45,0.12,142,-0.0006,SPY,1.5,0.01,0.001
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,1.5,0.01,0.001
Mean Reversion,-0.34,-0.46,0.29,-0.13,0.67,0.41,19,0.0074,AAPL,1.5,0.01,0.001
Momentum,0.6,0.83,0.31,0.15,0.7,0.51,176,-0.0003,AAPL,1.5,0.01,0.001
Combined,0.12,0.1,0.2,0.0,0.33,0.16,166,-0.0006,AAPL,1.5,0.01,0.001
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,1.5,0.01,0.001
Mean Reversion,-0.27,-0.38,0.28,-0.11,0.89,0.41,19,0.0168,MSFT,1.5,0.01,0.001
Momentum,0.05,0.07,0.29,-0.03,0.44,0.51,184,0.0007,MSFT,1.5,0.01,0.001
Combined,-0.1,-0.09,0.18,-0.03,0.46,0.16,171,0.0001,MSFT,1.5,0.01,0.001
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,1.5,0.01,0.001
Mean Reversion,-0.42,-0.58,0.3,-0.16,0.81,0.4,13,-0.0032,GOOGL,1.5,0.01,0.001
Momentum,-0.19,-0.26,0.31,-0.1,0.78,0.5,201,0.0024,GOOGL,1.5,0.01,0.001
Combined,-0.39,-0.36,0.19,-0.09,0.73,0.15,184,0.0001,GOOGL,1.5,0.01,0.001
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,1.5,0.01,0.001
Mean Reversion,-1.06,-1.43,0.5,-0.48,1.09,0.4,11,0.0124,NVDA,1.5,0.01,0.001
Momentum,0.43,0.66,0.52,0.09,0.82,0.5,221,0.0028,NVDA,1.5,0.01,0.001
Combined,-0.42,-0.38,0.34,-0.18,0.96,0.15,200,0.0013,NVDA,1.5,0.01,0.001
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,1.5,0.01,0.001
Mean Reversion,-0.16,-0.21,0.33,-0.1,0.92,0.43,23,0.0054,AMZN,1.5,0.01,0.001
Momentum,-0.13,-0.18,0.34,-0.1,0.6,0.49,212,0.0025,AMZN,1.5,0.01,0.001
Combined,-0.24,-0.21,0.21,-0.07,0.52,0.17,189,0.0014,AMZN,1.5,0.01,0.001
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,1.5,0.01,0.001
Mean Reversion,-0.43,-0.57,0.19,-0.1,0.52,0.38,15,0.0,SPY,1.5,0.02,0.0005
Momentum,-0.07,-0.09,0.2,-0.03,0.81,0.52,95,0.0011,SPY,1.5,0.02,0.0005
Combined,-0.51,-0.44,0.11,-0.06,0.46,0.11,98,0.0001,SPY,1.5,0.02,0.0005
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,1.5,0.02,0.0005
Mean Reversion,-0.34,-0.46,0.29,-0.13,0.67,0.41,19,0.0074,AAPL,1.5,0.02,0.0005
Momentum,0.83,1.15,0.31,0.23,0.73,0.52,118,0.0003,AAPL,1.5,0.02,0.0005
Combined,0.23,0.19,0.19,0.03,0.3,0.15,118,-0.0008,AAPL,1.5,0.02,0.0005
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,1.5,0.02,0.0005
Mean Reversion,-0.27,-0.38,0.28,-0.11,0.89,0.41,19,0.0168,MSFT,1.5,0.02,0.0005
Momentum,0.06,0.08,0.29,-0.02,0.44,0.52,136,0.0014,MSFT,1.5,0.02,0.0005
Combined,-0.09,-0.07,0.18,-0.03,0.46,0.15,125,0.0009,MSFT,1.5,0.02,0.0005
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,1.5,0.02,0.0005
Mean Reversion,-0.42,-0.58,0.3,-0.16,0.81,0.4,13,-0.0032,GOOGL,1.5,0.02,0.0005
Momentum,-0.76,-1.04,0.31,-0.25,0.86,0.48,155,-0.0007,GOOGL,1.5,0.02,0.0005
Combined,-0.93,-0.77,0.17,-0.16,0.8,0.13,138,-0.0002,GOOGL,1.5,0.02,0.0005
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,1.5,0.02,0.0005
Mean Reversion,-1.06,-1.43,0.5,-0.48,1.09,0.4,11,0.0124,NVDA,1.5,0.02,0.0005
Momentum,0.65,1.0,0.52,0.22,1.5,0.51,179,0.0042,NVDA,1.5,0.02,0.0005
Combined,-0.29,-0.25,0.34,-0.14,0.76,0.15,162,0.001,NVDA,1.5,0.02,0.0005
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,1.5,0.02,0.0005
Mean Reversion,-0.16,-0.21,0.33,-0.1,0.92,0.43,23,0.0054,AMZN,1.5,0.02,0.0005
Momentum,-0.08,-0.12,0.34,-0.08,0.72,0.48,157,0.0021,AMZN,1.5,0.02,0.0005
Combined,-0.16,-0.14,0.2,-0.05,0.53,0.15,144,0.0007,AMZN,1.5,0.02,0.0005
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,1.5,0.02,0.0005
Mean Reversion,-0.43,-0.57,0.19,-0.1,0.52,0.38,15,0.0,SPY,1.5,0.02,0.001
Momentum,-0.07,-0.09,0.2,-0.03,0.81,0.52,95,0.0011,SPY,1.5,0.02,0.001
Combined,-0.51,-0.44,0.11,-0.06,0.46,0.11,98,0.0001,SPY,1.5,0.02,0.001
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,1.5,0.02,0.001
Mean Reversion,-0.34,-0.46,0.29,-0.13,0.67,0.41,19,0.0074,AAPL,1.5,0.02,0.001
Momentum,0.83,1.15,0.31,0.23,0.73,0.52,118,0.0003,AAPL,1.5,0.02,0.001
Combined,0.23,0.19,0.19,0.03,0.3,0.15,118,-0.0008,AAPL,1.5,0.02,0.001
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,1.5,0.02,0.001
Mean Reversion,-0.27,-0.38,0.28,-0.11,0.89,0.41,19,0.0168,MSFT,1.5,0.02,0.001
Momentum,0.06,0.08,0.29,-0.02,0.44,0.52,136,0.0014,MSFT,1.5,0.02,0.001
Combined,-0.09,-0.07,0.18,-0.03,0.46,0.15,125,0.0009,MSFT,1.5,0.02,0.001
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,1.5,0.02,0.001
Mean Reversion,-0.42,-0.58,0.3,-0.16,0.81,0.4,13,-0.0032,GOOGL,1.5,0.02,0.001
Momentum,-0.76,-1.04,0.31,-0.25,0.86,0.48,155,-0.0007,GOOGL,1.5,0.02,0.001
Combined,-0.93,-0.77,0.17,-0.16,0.8,0.13,138,-0.0002,GOOGL,1.5,0.02,0.001
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,1.5,0.02,0.001
Mean Reversion,-1.06,-1.43,0.5,-0.48,1.09,0.4,11,0.0124,NVDA,1.5,0.02,0.001
Momentum,0.65,1.0,0.52,0.22,1.5,0.51,179,0.0042,NVDA,1.5,0.02,0.001
Combined,-0.29,-0.25,0.34,-0.14,0.76,0.15,162,0.001,NVDA,1.5,0.02,0.001
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,1.5,0.02,0.001
Mean Reversion,-0.16,-0.21,0.33,-0.1,0.92,0.43,23,0.0054,AMZN,1.5,0.02,0.001
Momentum,-0.08,-0.12,0.34,-0.08,0.72,0.48,157,0.0021,AMZN,1.5,0.02,0.001
Combined,-0.16,-0.14,0.2,-0.05,0.53,0.15,144,0.0007,AMZN,1.5,0.02,0.001
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,1.5,0.02,0.001
Mean Reversion,-0.43,-0.57,0.19,-0.1,0.52,0.38,15,0.0,SPY,1.5,0.03,0.0005
Momentum,0.08,0.1,0.2,-0.0,0.66,0.52,60,0.0017,SPY,1.5,0.03,0.0005
Combined,-0.41,-0.3,0.09,-0.04,0.39,0.07,61,0.0006,SPY,1.5,0.03,0.0005
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,1.5,0.03,0.0005
Mean Reversion,-0.34,-0.46,0.29,-0.13,0.67,0.41,19,0.0074,AAPL,1.5,0.03,0.0005
Momentum,0.59,0.82,0.31,0.14,0.83,0.51,93,0.0008,AAPL,1.5,0.03,0.0005
Combined,0.05,0.04,0.19,-0.01,0.38,0.14,90,-0.0018,AAPL,1.5,0.03,0.0005
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,1.5,0.03,0.0005
Mean Reversion,-0.27,-0.38,0.28,-0.11,0.89,0.41,19,0.0168,MSFT,1.5,0.03,0.0005
Momentum,-0.02,-0.02,0.29,-0.05,0.56,0.51,94,-0.0008,MSFT,1.5,0.03,0.0005
Combined,-0.11,-0.09,0.17,-0.03,0.52,0.13,95,0.0006,MSFT,1.5,0.03,0.0005
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,1.5,0.03,0.0005
Mean Reversion,-0.42,-0.58,0.3,-0.16,0.81,0.4,13,-0.0032,GOOGL,1.5,0.03,0.0005
Momentum,-0.66,-0.9,0.31,-0.22,1.21,0.49,111,-0.0018,GOOGL,1.5,0.03,0.0005
Combined,-0.96,-0.75,0.17,-0.17,0.87,0.12,106,-0.0021,GOOGL,1.5,0.03,0.0005
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,1.5,0.03,0.0005
Mean Reversion,-1.06,-1.43,0.5,-0.48,1.09,0.4,11,0.0124,NVDA,1.5,0.03,0.0005
Momentum,0.66,1.02,0.52,0.23,2.39,0.51,151,0.0045,NVDA,1.5,0.03,0.0005
Combined,-0.33,-0.29,0.33,-0.15,0.8,0.14,140,-0.0008,NVDA,1.5,0.03,0.0005
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,1.5,0.03,0.0005
Mean Reversion,-0.16,-0.21,0.33,-0.1,0.92,0.43,23,0.0054,AMZN,1.5,0.03,0.0005
Momentum,0.03,0.05,0.34,-0.04,0.7,0.48,118,0.0032,AMZN,1.5,0.03,0.0005
Combined,-0.02,-0.02,0.21,-0.03,0.49,0.15,121,0.0015,AMZN,1.5,0.03,0.0005
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,1.5,0.03,0.0005
Mean Reversion,-0.43,-0.57,0.19,-0.1,0.52,0.38,15,0.0,SPY,1.5,0.03,0.001
Momentum,0.08,0.1,0.2,-0.0,0.66,0.52,60,0.0017,SPY,1.5,0.03,0.001
Combined,-0.41,-0.3,0.09,-0.04,0.39,0.07,61,0.0006,SPY,1.5,0.03,0.001
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,1.5,0.03,0.001
Mean Reversion,-0.34,-0.46,0.29,-0.13,0.67,0.41,19,0.0074,AAPL,1.5,0.03,0.001
Momentum,0.59,0.82,0.31,0.14,0.83,0.51,93,0.0008,AAPL,1.5,0.03,0.001
Combined,0.05,0.04,0.19,-0.01,0.38,0.14,90,-0.0018,AAPL,1.5,0.03,0.001
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,1.5,0.03,0.001
Mean Reversion,-0.27,-0.38,0.28,-0.11,0.89,0.41,19,0.0168,MSFT,1.5,0.03,0.001
Momentum,-0.02,-0.02,0.29,-0.05,0.56,0.51,94,-0.0008,MSFT,1.5,0.03,0.001
Combined,-0.11,-0.09,0.17,-0.03,0.52,0.13,95,0.0006,MSFT,1.5,0.03,0.001
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,1.5,0.03,0.001
Mean Reversion,-0.42,-0.58,0.3,-0.16,0.81,0.4,13,-0.0032,GOOGL,1.5,0.03,0.001
Momentum,-0.66,-0.9,0.31,-0.22,1.21,0.49,111,-0.0018,GOOGL,1.5,0.03,0.001
Combined,-0.96,-0.75,0.17,-0.17,0.87,0.12,106,-0.0021,GOOGL,1.5,0.03,0.001
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,1.5,0.03,0.001
Mean Reversion,-1.06,-1.43,0.5,-0.48,1.09,0.4,11,0.0124,NVDA,1.5,0.03,0.001
Momentum,0.66,1.02,0.52,0.23,2.39,0.51,151,0.0045,NVDA,1.5,0.03,0.001
Combined,-0.33,-0.29,0.33,-0.15,0.8,0.14,140,-0.0008,NVDA,1.5,0.03,0.001
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,1.5,0.03,0.001
Mean Reversion,-0.16,-0.21,0.33,-0.1,0.92,0.43,23,0.0054,AMZN,1.5,0.03,0.001
Momentum,0.03,0.05,0.34,-0.04,0.7,0.48,118,0.0032,AMZN,1.5,0.03,0.001
Combined,-0.02,-0.02,0.21,-0.03,0.49,0.15,121,0.0015,AMZN,1.5,0.03,0.001
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,1.5,0.03,0.001
